,title,type,address,price,built_area,private_area,status,bedrooms,bathrooms,parking_slots,finishes,stratum,developers,country,city,zone
0,urbana 30,apartamento en venta en bogotá,carrera 30 no. 13a - 33,193000000,35.0,30.0,sobre planos,1,1,,sin acabados,4,constructora bolívar,colombia,bogota,centro
1,bauhaus 4 - 23,apartaestudio en venta en bogotá,calle 24 no. 4a - 15,169500000,25.0,22.37,sobre planos,1,1,comunal,con acabados,3,buenvivir,colombia,bogota,centro
2,bauhaus 4 - 23,apartamento en venta en bogotá,calle 24 no. 4a - 15,169500000,25.0,22.37,sobre planos,1,1,comunal,con acabados,3,buenvivir,colombia,bogota,centro
3,torre farfala,apartaestudio en venta en bogotá,calle 10 no. 30 -73,202587000,40.2,35.7,sobre planos,1,1,comunal,con acabados,3,kuman s.a.s,colombia,bogota,centro
4,aruma,apartaestudio en venta en bogotá,calle 6 no. 18 - 04,140000000,28.0,24.0,sobre planos,1,1,comunal,con semiacabados,3,alcabama,colombia,bogota,centro
5,teik urban style,apartamento en venta en bogotá,av. caracas no. 32 - 84,347011000,38.0,32.0,en construcción,1,1,,con acabados,4,icono urbano,colombia,bogota,centro
6,amaro apartamentos,apartamento en venta en bogotá,calle 6 no. 28 - 74,151332000,35.07,29.81,sobre planos,2,1,comunal,obra gris,3,alcabama,colombia,bogota,centro
7,torre farfala,apartamento en venta en bogotá,calle 10 no. 30 -73,195641000,38.2,32.75,sobre planos,1,1,comunal,con acabados,3,kuman s.a.s,colombia,bogota,centro
8,teik urban style,apartamento en venta en bogotá,av. caracas no. 32 - 84,385000000,38.0,32.0,en construcción,1,1,,con acabados,4,icono urbano,colombia,bogota,centro
9,bauhaus 4 - 23,apartamento en venta en bogotá,calle 24 no. 4a - 15,169500000,25.0,22.37,sobre planos,1,1,comunal,con acabados,3,buenvivir,colombia,bogota,centro
10,torre estación,apartamento en venta en bogotá,calle 15 no. 17 - 28,405300000,68.13,63.14,en construcción,2,2,1,con acabados,3,constructora capital bogotá,colombia,bogota,centro
11,bauhaus 4 - 23,apartaestudio en venta en bogotá,calle 24 no. 4a - 15,169500000,25.0,22.37,sobre planos,1,1,comunal,con acabados,3,buenvivir,colombia,bogota,centro
12,amaro apartamentos,apartaestudio en venta en bogotá,calle 6 no. 28 - 74,138300000,33.7,29.36,sobre planos,1,1,comunal,con semiacabados,3,alcabama,colombia,bogota,centro
13,teik urban style,apartamento en venta en bogotá,av. caracas no. 32 - 84,418268000,46.0,39.0,en construcción,1,1,,con acabados,4,icono urbano,colombia,bogota,centro
14,teik urban style,apartaestudio en venta en bogotá,av. caracas no. 32 - 84,544709000,60.0,53.0,en construcción,1,2,,con acabados,4,icono urbano,colombia,bogota,centro
15,torre estación,apartamento en venta en bogotá,calle 15 no. 17 - 28,359300000,64.16,58.59,en construcción,2,2,1,con acabados,3,constructora capital bogotá,colombia,bogota,centro
16,uni k 4-19,apartaestudio en venta en bogotá,cra 4 no. 18 - 85,258800000,30.1,27.65,sobre planos,1,1,,con acabados,3,akila,colombia,bogota,centro
17,novum ricaurte,apartamento en venta en bogotá,carrera 26 con calle 10,166000000,36.0,31.0,sobre planos,2,1,comunal,sin acabados,3,constructora bolívar,colombia,bogota,centro
18,torre estación,apartamento en venta en bogotá,calle 15 no. 17 - 28,396800000,70.02,64.53,en construcción,3,2,1,con acabados,3,constructora capital bogotá,colombia,bogota,centro
19,amaro apartamentos,apartamento en venta en bogotá,calle 6 no. 28 - 74,138300000,33.7,29.36,sobre planos,1,1,comunal,con semiacabados,3,alcabama,colombia,bogota,centro
20,uni k 4-19,apartamento en venta en bogotá,cra 4 no. 18 - 85,258800000,30.1,27.65,sobre planos,1,1,,con acabados,3,akila,colombia,bogota,centro
21,trend apartamentos,apartaestudio en venta en bogotá,calle 20 con carrera 4ta,190000000,22.0,19.0,sobre planos,1,1,comunal,con acabados,3,coninsa ramón h,colombia,bogota,centro
22,entre cielos,apartamento en venta en bogotá,calle 4 no. 15 -28,159000000,36.0,,sobre planos,2,1,comunal,con acabados,3,actual inmobiliaria,colombia,bogota,centro
23,arte k 5 -18,apartaestudio en venta en bogotá,carrera 5a no. 18 - 10,202500000,30.0,26.0,sobre planos,1,1,comunal,con semiacabados,3,akila,colombia,bogota,centro
24,teik urban style,apartaestudio en venta en bogotá,av. caracas no. 32 - 84,244440000,31.0,27.0,en construcción,1,1,,con acabados,4,icono urbano,colombia,bogota,centro
25,teik urban style,apartaestudio en venta en bogotá,av. caracas no. 32 - 84,548529000,60.0,53.0,en construcción,1,2,,con acabados,4,icono urbano,colombia,bogota,centro
26,da vinci apartaestudios,apartamento en venta en bogotá,"carrera 5 no. 18 - 54, local 02",183750000,25.02,22.07,en construcción,1,1,comunal,con acabados,3,buenvivir,colombia,bogota,centro
27,uni k 4-19,apartamento en venta en bogotá,cra 4 no. 18 - 85,397000000,44.7,41.2,sobre planos,2,2,,con acabados,3,akila,colombia,bogota,centro
28,trend apartamentos,apartamento en venta en bogotá,calle 20 con carrera 4ta,190000000,22.0,19.0,sobre planos,1,1,comunal,con acabados,3,coninsa ramón h,colombia,bogota,centro
29,teik urban style,apartamento en venta en bogotá,av. caracas no. 32 - 84,244440000,31.0,27.0,en construcción,1,1,,con acabados,4,icono urbano,colombia,bogota,centro
30,bauhaus 4 - 23,apartaestudio en venta en bogotá,calle 24 no. 4a - 15,169500000,25.0,22.37,sobre planos,1,1,comunal,con acabados,3,buenvivir,colombia,bogota,centro
31,teik urban style,apartaestudio en venta en bogotá,av. caracas no. 32 - 84,333349000,40.0,34.0,en construcción,1,1,,con acabados,4,icono urbano,colombia,bogota,centro
32,teik urban style,apartaestudio en venta en bogotá,av. caracas no. 32 - 84,450003000,49.0,41.0,en construcción,1,2,,con acabados,4,icono urbano,colombia,bogota,centro
33,paseo del parque,apartamento en venta en bogotá,calle 13 carrera 28,186000000,34.0,28.0,en construcción,1,1,comunal,sin acabados,3,amarilo,colombia,bogota,centro
34,teik urban style,apartamento en venta en bogotá,av. caracas no. 32 - 84,343855000,39.0,35.0,en construcción,1,1,,con acabados,4,icono urbano,colombia,bogota,centro
35,uni k 4-19,apartamento en venta en bogotá,cra 4 no. 18 - 85,501900000,58.25,52.65,sobre planos,3,2,1,con acabados,3,akila,colombia,bogota,centro
36,da vinci apartaestudios,apartaestudio en venta en bogotá,"carrera 5 no. 18 - 54, local 02",183750000,25.02,22.07,en construcción,1,1,comunal,con acabados,3,buenvivir,colombia,bogota,centro
37,teik urban style,apartamento en venta en bogotá,av. caracas no. 32 - 84,407879000,44.0,37.0,en construcción,1,1,,con acabados,4,icono urbano,colombia,bogota,centro
38,arte k 5 -18,apartamento en venta en bogotá,carrera 5a no. 18 - 10,202500000,30.0,26.0,sobre planos,1,1,comunal,con semiacabados,3,akila,colombia,bogota,centro
39,teik urban style,apartaestudio en venta en bogotá,av. caracas no. 32 - 84,270471000,32.0,29.0,en construcción,1,1,,con acabados,4,icono urbano,colombia,bogota,centro
40,uni k 4-19,apartamento en venta en bogotá,cra 4 no. 18 - 85,444900000,50.6,47.0,sobre planos,2,2,1,con acabados,3,akila,colombia,bogota,centro
41,go life & work,apartamento en venta en bogotá,calle 24 no. 7 -43 edif. 7/24 loc. 109,255100000,26.54,23.55,sobre planos,1,1,comunal,con acabados,3,conaltura - vertikal,colombia,bogota,centro
42,teik urban style,apartaestudio en venta en bogotá,av. caracas no. 32 - 84,311071000,39.0,33.0,en construcción,1,1,,con acabados,4,icono urbano,colombia,bogota,centro
